Taxon,pk_freq,F_Hz,log10Hz,min_freq,body_mass,log10mass,ln_mass,family,fam,order,phyloname,phyloname2,Species,Dichr,SongRepSize,MinLat,climPC1,climPC2,newVeg
Acanthiza_apicalis,3.61,3610,3.557507202,1.97,7.5,0.875061263,2.014903021,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_apicalis,Acanthiza apicalis,apicalis,0,,-35.99999971,1.742181843,0.246788503,Forest
Acanthiza_chrysorrhoa,5.34,5340,3.727541257,3.31,9.3,0.968482949,2.2300144,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_chrysorrhoa,Acanthiza chrysorrhoa,chrysorrhoa,0,,-43.6439738,-0.112869633,-0.164773103,Non-forest
Acanthiza_ewingii,3.47,3470,3.540329475,1.02,6.9,0.838849091,1.931521412,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_ewingii,Acanthiza ewingii,ewingii,0,,-43.64397438,-0.949002444,-0.407390718,Forest
Acanthiza_inornata,7.08,7080,3.850033258,2.38,7,0.84509804,1.945910149,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_inornata,Acanthiza inornata,inornata,0,,-35.19095605,-0.112869633,-0.164773103,Forest
Acanthiza_iredalei,6.38,6380,3.804820679,4.52,6.1,0.785329835,1.808288771,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_iredalei,Acanthiza iredalei,iredalei,0,,-38.85948,-0.327957418,1.381464837,Non-forest
Acanthiza_katherina,2.67,2670,3.426511261,1.03,7.2,0.857332496,1.974081026,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_katherina,Acanthiza katherina,katherina,0,,-19.06944689,-1.557632128,0.812163646,Forest
Acanthiza_pusilla,4.23,4230,3.626340367,1.41,7.7,0.886490725,2.041220329,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_pusilla,Acanthiza pusilla,pusilla,0,,-43.64397422,-0.970309246,0.778164306,Forest
Acanthiza_reguloides,6.97,6970,3.843232778,1.46,7.7,0.886490725,2.041220329,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_reguloides,Acanthiza reguloides,reguloides,0,,-39.13894,-1.669586759,-0.155182873,Forest
Acanthiza_uropygialis,5.49,5490,3.739572344,3.29,6.4,0.806179974,1.85629799,Acanthizidae,Australasian warblers,Passeriformes,Acanthiza_uropygialis,Acanthiza uropygialis,uropygialis,0,,-38.04661252,-0.853788517,0.288007475,Non-forest
Sericornis_beccarii,4.09,4090,3.611723308,2.93,13.3,1.123851641,2.587764035,Acanthizidae,Australasian warblers,Passeriformes,Sericornis_beccarii,Sericornis beccarii,beccarii,0,,-14.02552793,-0.035624053,0.078929118,Forest
Sericornis_citreogularis,4.61,4610,3.663700925,2.89,18.3,1.26245109,2.90690106,Acanthizidae,Australasian warblers,Passeriformes,Sericornis_citreogularis,Sericornis citreogularis,citreogularis,1,,-36.33211651,0.26256677,-0.840553633,Forest
Sericornis_frontalis,5.8,5800,3.763427994,4,14.1,1.149219113,2.646174797,Acanthizidae,Australasian warblers,Passeriformes,Sericornis_frontalis,Sericornis frontalis,frontalis,1,,-40.9999998,-0.130024002,-0.20426719,Forest
